ARMS,proportionshallow,distance(km),NearestShelf_Longitude,NearestShelf_Latitude,ShelfMatch,rownames(d),score,scorecn,scorecy,scorepfc,scoreth,scoretr,grav_NC,sediment,nutrient,pop_count,num_ports,reef_value,cumul_score
Ransome_ART01_ART01A_120312_150524,0.17114094,130,120.2416854,12.75000453,1,Ransome_ART01_ART01A_120312_150524,0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
Ransome_ART01_ART01B_120312_150524,0.17114094,130,120.2416854,12.75000453,1,Ransome_ART01_ART01B_120312_150524,0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
Ransome_ART02_ART02A_120312_150523,0.17114094,130,120.2416854,12.75000453,1,Ransome_ART02_ART02A_120312_150523,0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
Ransome_ART02_ART02B_120312_150523,0.17114094,130,120.2416854,12.75000453,1,Ransome_ART02_ART02B_120312_150523,0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
Ransome_ART02_ART02C_120312_150501,0.17114094,130,120.2416854,12.75000453,1,Ransome_ART02_ART02C_120312_150501,0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
Ransome_BAA01_BAA01A_120312_150530,0.167785235,120,120.2416854,12.75000453,1,Ransome_BAA01_BAA01A_120312_150530,0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
Ransome_BAA01_BAA01B_120312_150530,0.167785235,120,120.2416854,12.75000453,1,Ransome_BAA01_BAA01B_120312_150530,0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
Ransome_BAA01_BAA01C_120312_150530,0.167785235,120,120.2416854,12.75000453,1,Ransome_BAA01_BAA01C_120312_150530,0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
Ransome_BAA02_BAA02A_120312_150526,0.167785235,120,120.2416854,12.75000453,1,Ransome_BAA02_BAA02A_120312_150526,0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
Ransome_BAA02_BAA02B_120312_150531,0.167785235,120,120.2416854,12.75000453,1,Ransome_BAA02_BAA02B_120312_150531,0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
Ransome_BAA02_BAA02C_120312_150531,0.167785235,120,120.2416854,12.75000453,1,Ransome_BAA02_BAA02C_120312_150531,0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
Ransome_BAO01_BAO01A_120312_150521,0.167763158,130,120.2416854,12.75000453,1,Ransome_BAO01_BAO01A_120312_150521,0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
