"","Rank_1","Rank_2","Rank_3","Rank_4","Rank_5","Rank_6","Rank_7","Rank_8"
"OTU_100006","Root","Eukaryota","Arthropoda","Thecostraca","Lithoglyptida","Lithoglyptidae","Auritoglyptes","Auritoglyptes sp. ACRO_sp_241"
"OTU_100019","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100020","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100024","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100025","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100029","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100030","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100040","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100042","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100045","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100046","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100048","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100049","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_10005","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_100052","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100058","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100060","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100062","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100063","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_10007","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100076","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100077","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_10008","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100086","Root","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Pontellidae","Calanopia","Calanopia minor"
"OTU_100087","Root","Eukaryota","Arthropoda","Thecostraca","Lithoglyptida","Lithoglyptidae","Balanodytes","Balanodytes sp. ACRO_sp_119"
"OTU_100091","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100094","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100095","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100099","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100100","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100101","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100102","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100110","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100116","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100117","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100119","Root","Eukaryota","Arthropoda","Thecostraca","Balanomorpha","Balanidae","Acasta","Acasta sp. 1 AMH_2021a"
"OTU_100131","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100133","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100138","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100146","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100157","Root","Eukaryota","Xenacoelomorpha","Acoela","Sagittiferidae","Convolutriloba","longifissura",NA
"OTU_100158","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100165","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100166","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100167","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100172","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100176","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100178","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100179","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100184","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100190","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_10020","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100200","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100207","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100211","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100213","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100223","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100224","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100225","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100226","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100258","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100260","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_100264","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
